route,pageName,actor,domain,authRequirement,designReference,functionStatus,visualStatus,backendApiDependency,missingFunctionality,missingStates,adminCounterpart,partnerCounterpart,priority,estimatedEffort,blockers,sourceFile
"/:locale","LandingPage","Public","Landing","Public browse; session required for protected mutations where applicable","yes","A","B","None for hero; public navigation only","No blocking function gap observed; route links still depend on unfinished destinations","Reduced-motion, low-height and slower-device checks remain","N/A","N/A","P3","S","Route-level design and QA acceptance","apps/web/app/[locale]/page.tsx"
"/:locale/account","account","Guest / member","Auth","Public browse; session required for protected mutations where applicable","yes","B","C","Auth / Users / external OTP-email-OAuth adapters","Production OTP/email and OAuth credentials/integration acceptance remain","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error and permission states not all verified","N/A","N/A","P2","S","SMS/email/OAuth provider credentials and production callback configuration","apps/web/app/[locale]/(auth)/account/page.tsx"
"/:locale/account/forgot","forgot","Guest / member","Auth","Public browse; session required for protected mutations where applicable","yes","E","C","Auth / Users / external OTP-email-OAuth adapters","Reset token is not delivered by a production email/SMS provider","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error and permission states not all verified","N/A","N/A","P0","S","SMS/email/OAuth provider credentials and production callback configuration","apps/web/app/[locale]/(auth)/account/forgot/page.tsx"
"/:locale/account/reset","reset","Guest / member","Auth","Public browse; session required for protected mutations where applicable","yes","E","C","Auth / Users / external OTP-email-OAuth adapters","Reset token is not delivered by a production email/SMS provider","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error and permission states not all verified","N/A","N/A","P0","S","SMS/email/OAuth provider credentials and production callback configuration","apps/web/app/[locale]/(auth)/account/reset/page.tsx"
"/:locale/admin","AdminDashboardView","Admin","Admin Overview","Admin session/role; local review is read-only bypass","yes","B","C","Admin aggregate endpoints","Primary UI exists, but all actions and domain transitions are not accepted end to end","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error and permission states not all verified","N/A","N/A","P1","M","Route-level design and QA acceptance","apps/web/app/[locale]/(admin)/admin/page.tsx"
"/:locale/admin/audit","AdminAuditView","Admin","Logs / Audit","Admin session/role; local review is read-only bypass","yes","B","C","Admin audit APIs","Primary UI exists, but all actions and domain transitions are not accepted end to end","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error and permission states not all verified","N/A","N/A","P2","S","Route-level design and QA acceptance","apps/web/app/[locale]/(admin)/admin/audit/page.tsx"
"/:locale/admin/content","AdminContentArticleListView","Admin","Admin Content / CMS","Admin session/role; local review is read-only bypass","yes","B","C","Content / Storage / Audit","Primary UI exists, but all actions and domain transitions are not accepted end to end","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error and permission states not all verified","N/A","N/A","P1","M","Route-level design and QA acceptance","apps/web/app/[locale]/(admin)/admin/content/page.tsx"
"/:locale/admin/content/:id","AdminContentArticleEditorView","Admin","Admin Content / CMS","Admin session/role; local review is read-only bypass","yes","B","C","Content / Storage / Audit","Dynamic ID, not-found, authorization and mutation path need route-level end-to-end acceptance","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error, not-found and forbidden states not all verified","N/A","N/A","P1","M","Deterministic seeded IDs and role-scoped test fixtures","apps/web/app/[locale]/(admin)/admin/content/[id]/page.tsx"
"/:locale/admin/content/:id/versions","AdminContentVersionHistoryView","Admin","Admin Content / CMS","Admin session/role; local review is read-only bypass","yes","B","C","Content / Storage / Audit","Dynamic ID, not-found, authorization and mutation path need route-level end-to-end acceptance","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error, not-found and forbidden states not all verified","N/A","N/A","P1","M","Deterministic seeded IDs and role-scoped test fixtures","apps/web/app/[locale]/(admin)/admin/content/[id]/versions/page.tsx"
"/:locale/admin/content/categories","AdminContentCategoriesView","Admin","Admin Content / CMS","Admin session/role; local review is read-only bypass","yes","B","C","Content / Storage / Audit","Primary UI exists, but all actions and domain transitions are not accepted end to end","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error and permission states not all verified","N/A","N/A","P1","M","Route-level design and QA acceptance","apps/web/app/[locale]/(admin)/admin/content/categories/page.tsx"
"/:locale/admin/content/media","AdminContentMediaView","Admin","Admin Content / CMS","Admin session/role; local review is read-only bypass","yes","B","C","Content / Storage / Audit","Primary UI exists, but all actions and domain transitions are not accepted end to end","Desktop/mobile and Persian/English acceptance is incomplete; loading, empty, error and permission states not all verified","N/A","N/A","P1","M","Route-level design and QA acceptance","apps/web/app/[locale]/(admin)/admin/content/media/page.tsx"
